[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001438s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run ShowPageTrace Behavior [ RunTime:0.001489s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --END-- [ RunTime:0.001558s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run CheckRoute Behavior [ RunTime:0.000797s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000877s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000524s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000581s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run LocationTemplate Behavior [ RunTime:0.001630s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --END-- [ RunTime:0.001723s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run ParseTemplate Behavior [ RunTime:0.012997s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013092s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run ContentReplace Behavior [ RunTime:0.000565s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run TokenBuild Behavior [ RunTime:0.000601s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000367s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run ShowRuntime Behavior [ RunTime:0.000535s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002293s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Run ShowPageTrace Behavior [ RunTime:0.001715s ]
[ 2012-03-11T17:45:37+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --END-- [ RunTime:0.001800s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run CheckRoute Behavior [ RunTime:0.000638s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000712s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000467s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run LocationTemplate Behavior [ RunTime:0.000377s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000449s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run ParseTemplate Behavior [ RunTime:0.008632s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008706s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run ContentReplace Behavior [ RunTime:0.000454s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run TokenBuild Behavior [ RunTime:0.000343s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000295s ]
